case,phase,graph_distance,pairs,latent_mean,latent_sd
official32,initial,1,48,44.64940660559412,0.9452428596395204
official32,initial,2,87,44.563580079119085,1.030313580520591
official32,initial,3,102,44.54954577971774,0.989526222508576
official32,initial,4,103,44.643489327668675,1.0960057481340322
official32,initial,5,83,44.62806622699476,0.9539926493268518
official32,initial,6,52,44.87355608431296,1.117771074501226
official32,initial,7,20,45.10380354832092,1.096348853919998
official32,initial,8,1,45.47683802975362,0.0
official32,final,1,48,3.523499409506453,0.4863954360368204
official32,final,2,87,5.364862252244358,0.9368015456157991
official32,final,3,102,7.255016159409307,1.0644610927201708
official32,final,4,103,8.97119170470878,1.213966205221749
official32,final,5,83,10.583721384841956,0.9699705872554062
official32,final,6,52,11.914987076257507,0.5420374990754792
official32,final,7,20,12.810943057100179,0.4954856827876746
official32,final,8,1,13.54889455216678,0.0
random32_seed0,initial,1,42,44.91674124741716,0.8830547573624067
random32_seed0,initial,2,73,44.6627353920665,1.0140901410877003
random32_seed0,initial,3,116,44.614256414096246,0.9587894593008723
random32_seed0,initial,4,127,44.54083528448258,1.0040371026301775
random32_seed0,initial,5,87,44.635335490463575,1.0848011667985653
random32_seed0,initial,6,37,44.63761149842997,1.3102356818868979
random32_seed0,initial,7,13,45.19502142176031,0.9785997728518999
random32_seed0,initial,8,1,46.41964368202075,0.0
random32_seed0,final,1,42,3.879832345741938,0.5231143781734472
random32_seed0,final,2,73,6.030983283371377,0.7745708522487801
random32_seed0,final,3,116,7.4753211294455975,1.0862575183721666
random32_seed0,final,4,127,8.796982736911149,1.2296677572748258
random32_seed0,final,5,87,10.22570127269616,1.0743035614315675
random32_seed0,final,6,37,11.612360204260161,0.9067136831184298
random32_seed0,final,7,13,12.884108595520187,0.605998357423644
random32_seed0,final,8,1,13.386457529854127,0.0
random32_seed1,initial,1,56,45.16959261517867,1.2267947486859467
random32_seed1,initial,2,131,44.88094802480373,1.1216808891703531
random32_seed1,initial,3,192,44.93975061857996,1.1123253412616843
random32_seed1,initial,4,106,44.89371645341615,1.2431180597127707
random32_seed1,initial,5,11,45.22930449743718,1.1851493863146167
random32_seed1,final,1,56,2.9993650016702964,0.2984656965925338
random32_seed1,final,2,131,4.087653165821754,0.5377585297009794
random32_seed1,final,3,192,4.817098627648711,0.6407739281434318
random32_seed1,final,4,106,5.568348115178254,0.6582774530631245
random32_seed1,final,5,11,6.499084738783538,0.6489339629392945
random32_seed2,initial,1,54,44.54702723633985,0.8929307850756029
random32_seed2,initial,2,123,44.727000441860326,0.9027783570939448
random32_seed2,initial,3,167,44.70240184495922,0.8754060628100155
random32_seed2,initial,4,113,44.76472922867925,0.9572515242210463
random32_seed2,initial,5,34,44.59107123040582,0.7056499201736193
random32_seed2,initial,6,5,44.04889370507582,0.4604778631694213
random32_seed2,final,1,54,3.0907044865349778,0.35438968851884173
random32_seed2,final,2,123,4.291897347114883,0.6077611970961947
random32_seed2,final,3,167,5.255418708868255,0.7606330727670785
random32_seed2,final,4,113,6.293529541511512,0.8232377619821163
random32_seed2,final,5,34,7.595533187597783,0.5735658853531713
random32_seed2,final,6,5,8.877014013291213,0.16799395360954258
random64_seed0,initial,1,95,45.078078778046724,0.9575479907290589
random64_seed0,initial,2,191,45.07555311831349,0.9858904339453693
random64_seed0,initial,3,345,44.9689661088953,0.9338496074757392
random64_seed0,initial,4,475,44.9283073863672,0.9690190297507528
random64_seed0,initial,5,493,44.964128803536916,1.041411379704221
random64_seed0,initial,6,294,44.934444402806264,1.0161485262975918
random64_seed0,initial,7,107,44.768054688441346,1.00726987047516
random64_seed0,initial,8,16,44.8791634406857,1.0272981996591157
random64_seed0,final,1,95,3.6283489710127226,0.4106250134280012
random64_seed0,final,2,191,5.3540236947172515,0.7319394399999286
random64_seed0,final,3,345,6.503884639526723,0.8628998990123076
random64_seed0,final,4,475,7.4759548917199785,0.8241187817556833
random64_seed0,final,5,493,8.264303931133124,0.8350113026761046
random64_seed0,final,6,294,9.129493463764712,0.8250834155818919
random64_seed0,final,7,107,9.965419716895745,0.7430721667094027
random64_seed0,final,8,16,10.49802555082152,0.5747324473604539
random64_seed1,initial,1,100,45.03127196419601,1.207545158391364
random64_seed1,initial,2,225,44.92259082520673,1.0843439450560663
random64_seed1,initial,3,438,44.853421096194836,1.1018429444925975
random64_seed1,initial,4,565,44.8848168919569,1.1285968132654214
random64_seed1,initial,5,444,44.89905360113367,1.129201293248294
random64_seed1,initial,6,182,44.69081192553081,1.0847718208271453
random64_seed1,initial,7,50,44.733262283970255,1.1490912019974397
random64_seed1,initial,8,11,44.93522260918888,1.2686608291284838
random64_seed1,initial,9,1,43.20786623869177,0.0
random64_seed1,final,1,100,3.4416447720412155,0.3769183815479563
random64_seed1,final,2,225,4.892413067187519,0.7135083161295838
random64_seed1,final,3,438,5.822217190524099,0.8829629821287701
random64_seed1,final,4,565,6.670043676929458,1.0235222813831224
random64_seed1,final,5,444,7.6288710041101195,1.1249505329880445
random64_seed1,final,6,182,8.800798202778473,1.2092846954659504
random64_seed1,final,7,50,10.454784057748292,1.1625710812938015
random64_seed1,final,8,11,11.695493322758445,0.3648113772838148
random64_seed1,final,9,1,12.355250289320411,0.0
random64_seed2,initial,1,89,44.86172141005977,0.9065603074059082
random64_seed2,initial,2,165,44.80679647538096,0.8716686765635495
random64_seed2,initial,3,278,44.767148486996525,0.8837053708977671
random64_seed2,initial,4,404,44.769226979594485,0.8859492416055966
random64_seed2,initial,5,445,44.789467814552,0.8952721271029012
random64_seed2,initial,6,337,44.8657601376914,0.9332254600121964
random64_seed2,initial,7,200,44.8139350788957,0.8725254547029458
random64_seed2,initial,8,86,44.800351490275226,1.0544912813458254
random64_seed2,initial,9,12,45.154443297851934,0.7389478219007353
random64_seed2,final,1,89,3.800266492040938,0.3888022249631789
random64_seed2,final,2,165,5.667057204804161,0.7410955760028344
random64_seed2,final,3,278,6.918080885006412,0.9304719491495859
random64_seed2,final,4,404,7.791826976605609,1.097860223109036
random64_seed2,final,5,445,8.613124972569441,1.1811448401341533
random64_seed2,final,6,337,9.552749785750857,1.071807189523734
random64_seed2,final,7,200,10.434697920033866,0.8695467143055734
random64_seed2,final,8,86,11.173226016675496,0.7321829908410079
random64_seed2,final,9,12,12.08936930149705,0.9389569383552081
random128_seed0,initial,1,197,44.96861667808781,0.9492701526494125
random128_seed0,initial,2,441,44.86761160931254,1.012759083115617
random128_seed0,initial,3,928,44.92098567617923,0.9963626175307516
random128_seed0,initial,4,1680,44.91756634727452,0.9744533390311914
random128_seed0,initial,5,2170,44.88237703412066,0.9888472279223143
random128_seed0,initial,6,1722,44.82236319728825,0.9976826570921982
random128_seed0,initial,7,795,44.77868528575567,0.9351096941815371
random128_seed0,initial,8,182,44.81802218007107,0.9237226190038618
random128_seed0,initial,9,13,44.65885277407954,0.6370482218694559
random128_seed0,final,1,197,3.5662570496269956,0.30400398183008404
random128_seed0,final,2,441,5.132244256365558,0.5639512483283453
random128_seed0,final,3,928,6.033290436599613,0.7306474661682787
random128_seed0,final,4,1680,6.611895062827231,0.8554605611966027
random128_seed0,final,5,2170,7.196708322968672,0.9234020026755634
random128_seed0,final,6,1722,7.914911147615145,0.9171080146861251
random128_seed0,final,7,795,8.715614255819013,0.8826719303686726
random128_seed0,final,8,182,9.591695851069035,0.913963275037106
random128_seed0,final,9,13,10.524885070613253,0.8093869102896408
random128_seed1,initial,1,200,44.779646574632494,1.122805132388954
random128_seed1,initial,2,473,44.79094021086133,0.9760660423572632
random128_seed1,initial,3,1043,44.72279086822523,1.0095954231318167
random128_seed1,initial,4,1865,44.76360135188017,1.0252708925429672
random128_seed1,initial,5,2253,44.75713650938806,1.0368766208110038
random128_seed1,initial,6,1578,44.77516541622335,1.0168993271499431
random128_seed1,initial,7,547,44.750503186111665,1.0625906735771913
random128_seed1,initial,8,135,44.55662396707691,1.0695687194595584
random128_seed1,initial,9,31,44.32300592202808,1.0855148338365084
random128_seed1,initial,10,3,43.81825916503069,0.47783003553860054
random128_seed1,final,1,200,3.4792641728720697,0.3060231432084865
random128_seed1,final,2,473,4.903227084968682,0.6046495941277888
random128_seed1,final,3,1043,5.684161518813148,0.7979704892943655
random128_seed1,final,4,1865,6.23848656384207,0.9397241144309871
random128_seed1,final,5,2253,6.82639069145073,1.090597423034806
random128_seed1,final,6,1578,7.644236451758025,1.3139059334221943
random128_seed1,final,7,547,9.115337139987883,1.5514752579953415
random128_seed1,final,8,135,11.006532627039379,1.1057186108101194
random128_seed1,final,9,31,12.19972978891173,0.5208746393747665
random128_seed1,final,10,3,12.892675224654647,0.29542879549236056
random128_seed2,initial,1,178,44.80668563307023,0.8899221749825736
random128_seed2,initial,2,350,44.83595508592127,0.8964323805514953
random128_seed2,initial,3,694,44.769348150839775,0.9239685240514558
random128_seed2,initial,4,1248,44.75009485588351,0.9201671231321805
random128_seed2,initial,5,1759,44.75486327811049,0.9183573934426499
random128_seed2,initial,6,1764,44.72744778460015,0.9246581205512584
random128_seed2,initial,7,1217,44.71125026023496,0.9463312705403281
random128_seed2,initial,8,594,44.65758251245314,0.9546431511037508
random128_seed2,initial,9,239,44.79924902847888,0.9171094025092624
random128_seed2,initial,10,75,44.96389859289992,1.0059451518642732
random128_seed2,initial,11,10,45.24792114143576,0.6887381443082867
random128_seed2,final,1,178,3.8477103637422285,0.3797939441797976
random128_seed2,final,2,350,5.798543555008638,0.6115083558675946
random128_seed2,final,3,694,6.938214377882663,0.8373783242124809
random128_seed2,final,4,1248,7.633851324237114,0.9864101463324566
random128_seed2,final,5,1759,8.255546511968413,1.028363506923043
random128_seed2,final,6,1764,8.898228157203311,1.0212483244584838
random128_seed2,final,7,1217,9.658013738435708,1.0197160490323296
random128_seed2,final,8,594,10.616978804424539,0.9531130047816088
random128_seed2,final,9,239,11.523986121341135,0.7597945005381187
random128_seed2,final,10,75,12.225862495082847,0.67440967079337
random128_seed2,final,11,10,12.86746499857146,0.43059774054812194
random256_seed0,initial,1,369,44.83683705126484,1.0336826442173224
random256_seed0,initial,2,767,44.79286718162081,0.9961929532470274
random256_seed0,initial,3,1592,44.83262896463553,0.975364948096363
random256_seed0,initial,4,3057,44.816946158991826,0.9702042775121249
random256_seed0,initial,5,5250,44.823111079109296,0.9794833794833879
random256_seed0,initial,6,7311,44.80921695070607,0.9736033679870942
random256_seed0,initial,7,7292,44.82904302739273,0.9825451816448977
random256_seed0,initial,8,4654,44.85300511755433,0.9851395325641421
random256_seed0,initial,9,1837,44.87141460767191,0.9993865787476368
random256_seed0,initial,10,435,44.77891687696405,0.9856681858057492
random256_seed0,initial,11,71,44.57325546211667,0.9926419976997223
random256_seed0,initial,12,5,44.696944480767534,0.6519589728053792
random256_seed0,final,1,369,3.7888490561840866,0.2967235691575218
random256_seed0,final,2,767,5.587348762876628,0.5634072429404422
random256_seed0,final,3,1592,6.611511353609175,0.7952881963966315
random256_seed0,final,4,3057,7.238656496912648,0.9361482619261927
random256_seed0,final,5,5250,7.687454592515659,1.011698251744505
random256_seed0,final,6,7311,8.110851369577373,1.0559048057086706
random256_seed0,final,7,7292,8.626056657685352,1.0867074148190523
random256_seed0,final,8,4654,9.288846859956381,1.1344170530535411
random256_seed0,final,9,1837,10.182035554455897,1.2394522996763038
random256_seed0,final,10,435,11.40435466581088,1.2444799022206772
random256_seed0,final,11,71,12.724923476876638,0.9684869243644089
random256_seed0,final,12,5,14.194931332773303,0.5019489946922812
random256_seed1,initial,1,398,44.67904397109903,1.0010131768793884
random256_seed1,initial,2,919,44.77575858734161,1.0428590823784782
random256_seed1,initial,3,2095,44.75306423497884,0.9806426403841622
random256_seed1,initial,4,4282,44.72813947745448,0.9979825305242424
random256_seed1,initial,5,7253,44.72530644027628,1.0129046663053207
random256_seed1,initial,6,8748,44.70639466623686,1.0095082642138111
random256_seed1,initial,7,6158,44.65804407374502,1.016418272035062
random256_seed1,initial,8,2276,44.6178524246207,1.004760792165824
random256_seed1,initial,9,466,44.717135659183356,1.0934451054943921
random256_seed1,initial,10,45,44.94812227971388,0.9399318913878623
random256_seed1,final,1,398,3.542190181576489,0.2873922670222603
random256_seed1,final,2,919,5.090769295113222,0.5215438601895998
random256_seed1,final,3,2095,5.917519065683378,0.6989875240541878
random256_seed1,final,4,4282,6.396094275576719,0.8112268978085991
