name,case,nodes,seed,official_graph,state_dim,method,action_coverage,training_seconds,transition_mse,successor_accuracy,state_centered_rms,state_rms_ratio,minimum_pair_distance,spearman_initial,spearman,cosine_reach
local128,official32,32,0,True,128,local,1.0,1.0205953107215464,4.596219693610736e-11,1.0,0.18424620785300921,0.18342627249455565,0.8759381893469871,0.12239537024801408,0.9152008118531865,0.9969758064516129
local128,random32_seed0,32,0,False,128,local,1.0,0.9128372091799974,1.1503407995098714e-12,1.0,0.19122481882250192,0.19037382714026585,0.8670486535420096,0.16436855981787168,0.8827303437884114,1.0
local128,random32_seed1,32,1,False,128,local,1.0,1.2312227985821664,2.877463816566705e-10,1.0,0.10300830206473408,0.10511322950523984,0.7619159530772159,-0.04166178712402977,0.7519665095765203,0.9858870967741935
local128,random32_seed2,32,2,False,128,local,1.0,1.0906003834679723,4.0314096268694326e-11,1.0,0.11960041838105426,0.1230417381944067,0.8103497352416257,-0.06122903393115819,0.8506198361014711,0.9969758064516129
local128,random64_seed0,64,0,False,128,local,1.0,2.0639519155956805,5.01919239109546e-12,1.0,0.17112119077032176,0.1710481826273063,0.9003949781744527,0.06494339767563177,0.8529278549088382,0.970734126984127
local128,random64_seed1,64,1,False,128,local,1.0,2.22926107654348,7.636104176891253e-12,1.0,0.1544909803689627,0.15611925439980856,0.9237746549499638,-0.0717868288501949,0.7955357187836591,0.9662698412698413
local128,random64_seed2,64,2,False,128,local,1.0,1.7770968866534531,5.123056036575296e-12,1.0,0.17868338396369335,0.18023775733600678,0.92902581481564,0.0515992849818023,0.8214985130584371,0.9206349206349206
local128,random128_seed0,128,0,False,128,local,1.0,4.472357539925724,1.547243720060356e-11,1.0,0.16202235774455692,0.16299105143181572,0.9713156965244766,-0.00936749137592678,0.7038769656295113,0.8108390748031497
local128,random128_seed1,128,1,False,128,local,1.0,4.21381753962487,4.7461071594903354e-11,1.0,0.158724280387913,0.15850892414238119,0.9608770815275671,0.005237201860887942,0.6987930285285542,0.8443651574803149
local128,random128_seed2,128,2,False,128,local,1.0,4.192444120068103,1.206586314337035e-12,1.0,0.188302870888044,0.188818369563236,0.9277744592232988,-0.06328662196002338,0.7377382357644683,0.7598425196850394
local128,random256_seed0,256,0,False,128,local,1.0,7.954615181311965,1.6174794728003107e-11,1.0,0.1871593055452799,0.18754027818764063,1.0135501999042906,-0.031949440003648646,0.6354721332148072,0.6244332107843137
local128,random256_seed1,256,1,False,128,local,1.0,9.647309101186693,3.301019512710804e-11,1.0,0.1576836848960553,0.15724103786435534,0.9099022349568653,-0.03922773771280739,0.602446095919543,0.5899203431372549
local128,random256_seed2,256,2,False,128,local,1.0,7.310343521181494,4.81451698351861e-11,1.0,0.1792724236849732,0.17967786377915346,0.9104381141652576,-0.03486599227729766,0.6488281424390565,0.5990042892156863
local128,random512_seed0,512,0,False,128,local,1.0,14.475251174066216,2.8421516433217793e-11,1.0,0.17506252129060856,0.17433618836207057,0.9540679997122525,0.003364309823196493,0.5413488307237316,0.3833743578767123
local128,random512_seed1,512,1,False,128,local,1.0,14.476166771259159,1.0792724626584627e-11,1.0,0.18017725062338918,0.1798514961656478,0.9682801956607838,0.00689205784181072,0.5744153571627945,0.4075915790117417
local128,random512_seed2,512,2,False,128,local,1.0,14.72776629915461,2.1746278055443832e-11,1.0,0.18385526211885425,0.1837164272790041,0.8538473485874696,-0.0021858058406662236,0.5608324436778821,0.38079822040117417
local1000,official32,32,0,True,1000,local,1.0,1.0499582723714411,5.144062572759952e-11,1.0,0.19100186224169746,0.19430501148998888,2.6698500853147578,0.08178699875687478,0.9407547903313501,0.9979838709677419
local1000,random32_seed0,32,0,False,1000,local,1.0,1.1637612534686923,1.090269428651172e-12,1.0,0.18890411217124797,0.19217098333571872,2.833862055278993,-0.03034359502893906,0.8853478462475651,1.0
local1000,random32_seed1,32,1,False,1000,local,1.0,1.0556400059722364,2.776181651619372e-10,1.0,0.10398075142252533,0.10507962624042409,2.356496852179582,-0.032236948608931254,0.786719919514525,1.0
local1000,random32_seed2,32,2,False,1000,local,1.0,1.0480168657377362,4.2740671598589805e-11,1.0,0.11884054360105896,0.120798394862874,2.458685010157773,0.0017876703791234378,0.8527236574123922,1.0
local1000,random64_seed0,64,0,False,1000,local,1.0,2.106154577806592,4.9484278318984174e-12,1.0,0.1709764866234055,0.1713828373828385,2.629766303011493,-0.04707509308149393,0.8511862256937506,0.9910714285714286
local1000,random64_seed1,64,1,False,1000,local,1.0,2.177014415618032,7.131927167589098e-12,1.0,0.1527521791929848,0.1533990557653586,2.7046353477239915,-0.03647671393677299,0.8106130772301551,0.9744543650793651
local1000,random64_seed2,64,2,False,1000,local,1.0,2.1746249399147928,5.02906271251718e-12,1.0,0.18782348685919872,0.1889175962165408,2.9616557510383776,0.023606763466881158,0.832471258066509,0.9781746031746031
local1000,random128_seed0,128,0,False,1000,local,1.0,5.124687123578042,1.5668728554522106e-11,1.0,0.16127616007398057,0.16133228319612347,2.8097470263281727,-0.04234476527371643,0.753055811381738,0.9118479330708661
local1000,random128_seed1,128,1,False,1000,local,1.0,4.667090444359928,4.690241639480713e-11,1.0,0.15499246347701148,0.15544532837948555,2.945302750200346,-0.0039568402132736675,0.727584607235263,0.9202755905511811
local1000,random128_seed2,128,2,False,1000,local,1.0,4.227114348206669,1.2694240067164335e-12,1.0,0.19338265964638504,0.19400153018601113,2.744940625087205,-0.025167058440211106,0.781807212603439,0.8784448818897638
local1000,random256_seed0,256,0,False,1000,local,1.0,8.799011663068086,1.604683939180547e-11,1.0,0.18691155048818747,0.1867937576184708,2.8736513899269513,0.00684932699336639,0.6781524172990473,0.7912071078431373
local1000,random256_seed1,256,1,False,1000,local,1.0,10.052667940035462,3.10200324468032e-11,1.0,0.15956100763632777,0.15989745463096605,2.552400618950912,-0.028907352513043626,0.6419241866107144,0.720343137254902
local1000,random256_seed2,256,2,False,1000,local,1.0,8.872102866880596,4.56119740295535e-11,1.0,0.1817962192625485,0.18223023787056392,2.6181984784392722,-0.016708216364158517,0.677782952277918,0.7445465686274509
local1000,random512_seed0,512,0,False,1000,local,1.0,17.68874247558415,3.0653167355355923e-11,1.0,0.17397657777087086,0.17377942409693647,2.674276273841198,0.0022930439531602897,0.5687355083921892,0.5080036081213307
local1000,random512_seed1,512,1,False,1000,local,1.0,17.363657446578145,1.0223350605249556e-11,1.0,0.1797245087722931,0.1799188167913904,2.8977958333538223,-0.007733384756828785,0.5938283384885814,0.522069165851272
local1000,random512_seed2,512,2,False,1000,local,1.0,17.279876934364438,2.2568077407821327e-11,1.0,0.18439280718774634,0.1846580694273259,2.608427339542452,-0.004310835892665877,0.5920305382687701,0.5106256115459883
local2048,official32,32,0,True,2048,local,1.0,2.0475504426285625,5.228744950084094e-11,1.0,0.18933232881615641,0.19125124723193607,3.6274950533500947,-0.018044753789836884,0.9392803024946633,1.0
local2048,random32_seed0,32,0,False,2048,local,1.0,1.706395136192441,1.0961198802646685e-12,1.0,0.18896984501476888,0.1908850895897087,3.940370276967794,-0.019514411624269364,0.8931869598620833,1.0
local2048,random32_seed1,32,1,False,2048,local,1.0,1.251630887389183,2.7634040167816e-10,1.0,0.10404858040077121,0.10543065242555157,3.4885473813767893,-0.07342142967283566,0.7935161771363834,1.0
local2048,random32_seed2,32,2,False,2048,local,1.0,1.1841759332455695,4.269597863539539e-11,1.0,0.12177701585352242,0.1235971023831618,3.557677305939387,0.05331350232591988,0.8530750323733002,1.0
local2048,random64_seed0,64,0,False,2048,local,1.0,2.6675824830308557,5.054511201216424e-12,1.0,0.17078126361180246,0.17150569286029957,3.9562462157351987,0.047330791299037944,0.8578512663624354,0.9895833333333334
local2048,random64_seed1,64,1,False,2048,local,1.0,2.2963371388614178,7.277583209590066e-12,1.0,0.15337168574808857,0.1544655027432032,3.945706445825732,0.07570640593940568,0.8165375678408404,0.9838789682539683
local2048,random64_seed2,64,2,False,2048,local,1.0,2.4206271641887724,4.81820670627273e-12,1.0,0.18573741554460105,0.1870309002832894,4.2454272099796,-0.009569023603032613,0.82895027080068,0.9799107142857143
local2048,random128_seed0,128,0,False,2048,local,1.0,5.3461183570325375,1.539416982988536e-11,1.0,0.15956305388141567,0.15981606035311538,4.036839445883692,0.0147324840563546,0.7440708477026258,0.9243356299212598
local2048,random128_seed1,128,1,False,2048,local,1.0,4.775711411610246,4.578216822540385e-11,1.0,0.15491768021279975,0.15561585480705323,4.179036613712319,0.060666298209731156,0.7226764523675742,0.9479576771653543
local2048,random128_seed2,128,2,False,2048,local,1.0,4.646670715417713,1.2935414155307025e-12,1.0,0.1938817359101449,0.19473733621117958,3.9180031140780467,-0.010837199467871239,0.7868038121221524,0.8937007874015748
local2048,random256_seed0,256,0,False,2048,local,1.0,9.14581790426746,1.647508750302439e-11,1.0,0.18589867307527436,0.18594535281649843,4.026613547441856,0.01890666927883971,0.6796228021516239,0.7733455882352941
local2048,random256_seed1,256,1,False,2048,local,1.0,9.300663853995502,3.2539623605731884e-11,1.0,0.15971289941757905,0.16001874280956033,3.5535439983516355,0.01974432512523733,0.6446909753549955,0.7352787990196078
local2048,random256_seed2,256,2,False,2048,local,1.0,9.28721833974123,4.6133092146617435e-11,1.0,0.18104717280917526,0.18148389475739563,3.837995773137134,0.027318018775687264,0.6755612051538457,0.7557904411764705
local2048,random512_seed0,512,0,False,2048,local,1.0,18.61736876424402,3.040093643440215e-11,1.0,0.17438471895682559,0.1742871837288993,3.886291956431362,-0.012305217978087006,0.5705778776759495,0.5348581213307241
local2048,random512_seed1,512,1,False,2048,local,1.0,18.38374833855778,1.0153447038269228e-11,1.0,0.18015802574594206,0.1803111914898784,4.128384905911233,-0.011920474652775367,0.5992109288057665,0.5402779476516634
local2048,random512_seed2,512,2,False,2048,local,1.0,18.751431637443602,2.257684061304274e-11,1.0,0.18355197326449216,0.18376396463170336,3.791255261843908,-0.0010782359538685441,0.600059246009998,0.5162633011252447
gradient1000,official32,32,0,True,1000,full_gradient,1.0,1.359512806404382,1.0255642822033905e-11,1.0,0.08074042358479537,0.08213673284765148,1.6046352258645835,0.08178699875687478,0.9367904069318727,0.9969758064516129
gradient1000,random32_seed0,32,0,False,1000,full_gradient,1.0,1.3659783992916346,1.9215966315044194e-13,1.0,0.0835939161668239,0.08503957317826587,1.7114016986126046,-0.03034359502893906,0.882295924361127,0.9969758064516129
