case,epoch,label,source,target,graph_distance,high_dim_length,high_dim_edge_mean_ratio,high_dim_edge_percentile,high_dim_all_pair_percentile,epoch20_2d_edge_mean_ratio
random128_seed0,20,A,124,125,1,3.7637620932422684,1.055381606223794,79.69543147208121,1.9192913385826773,5.788664016208293
random128_seed0,20,B,77,127,1,3.8572554834814223,1.0815977171036681,84.77157360406092,2.091535433070866,4.847445876707591
random128_seed0,20,C,53,70,1,3.715930106572362,1.041969228483129,71.06598984771574,1.7224409448818898,4.800254914330222
random128_seed0,20,D,91,92,1,3.736616636207744,1.0477698562414524,74.61928934010153,1.796259842519685,4.601303496057159
random128_seed0,20,E,43,44,1,3.9087519001992135,1.096037623145544,89.34010152284264,2.251476377952756,4.597260820815789
random128_seed0,50,A,124,125,1,3.7637638782115976,1.0553819215842153,79.69543147208121,1.9315944881889764,5.788664016208293
random128_seed0,50,B,77,127,1,3.857254980442947,1.0815973862936625,84.77157360406092,2.091535433070866,4.847445876707591
random128_seed0,50,C,53,70,1,3.7159351420819347,1.0419704576675541,71.06598984771574,1.7224409448818898,4.800254914330222
random128_seed0,50,D,91,92,1,3.7366192942741723,1.0477704177589284,74.61928934010153,1.8085629921259843,4.601303496057159
random128_seed0,50,E,43,44,1,3.9087512695813866,1.096037254028194,89.34010152284264,2.2391732283464565,4.597260820815789
random128_seed0,100,A,124,125,1,3.763764801829172,1.0553818966032902,79.69543147208121,1.9315944881889764,5.788664016208293
random128_seed0,100,B,77,127,1,3.857255915520335,1.0815973574724127,84.77157360406092,2.091535433070866,4.847445876707591
random128_seed0,100,C,53,70,1,3.715937059369712,1.0419707149262132,71.06598984771574,1.7224409448818898,4.800254914330222
random128_seed0,100,D,91,92,1,3.736620319952405,1.0477704234444218,74.61928934010153,1.8085629921259843,4.601303496057159
random128_seed0,100,E,43,44,1,3.908750313689108,1.0960366910825767,89.34010152284264,2.2391732283464565,4.597260820815789
random256_seed0,20,A,100,101,1,4.227997056538442,1.1159053828332341,91.05691056910568,1.0386029411764706,7.657899932738098
random256_seed0,20,B,20,21,1,4.165359809149258,1.099373384207702,89.97289972899729,1.0294117647058822,6.9324658728100985
random256_seed0,20,C,146,147,1,4.386530623425913,1.157747526591565,97.289972899729,1.1213235294117647,6.898529702349379
random256_seed0,20,D,55,231,1,3.864189683306115,1.019884832043931,62.601626016260155,0.7077205882352942,6.072921882492674
random256_seed0,20,E,117,118,1,4.157201468501636,1.097220133833606,89.43089430894308,1.0232843137254901,5.947252262749268
random256_seed0,50,A,100,101,1,4.228109083594843,1.1159348389450825,91.32791327913279,1.0447303921568627,7.657899932738098
random256_seed0,50,B,20,21,1,4.165359836896819,1.0993732817280326,89.97289972899729,1.0294117647058822,6.9324658728100985
random256_seed0,50,C,146,147,1,4.386530150247997,1.1577472860711595,97.289972899729,1.1213235294117647,6.898529702349379
random256_seed0,50,D,55,231,1,3.864192109728121,1.0198853705912387,62.601626016260155,0.7107843137254902,6.072921882492674
random256_seed0,50,E,117,118,1,4.157199048106498,1.097219385424901,89.43089430894308,1.0232843137254901,5.947252262749268
random256_seed0,100,A,100,101,1,4.228113230775064,1.1159356576375983,91.32791327913279,1.0447303921568627,7.657899932738098
random256_seed0,100,B,20,21,1,4.165361965122543,1.0993735716476019,89.97289972899729,1.0294117647058822,6.9324658728100985
random256_seed0,100,C,146,147,1,4.386531926026065,1.1577474685371396,97.289972899729,1.1213235294117647,6.898529702349379
random256_seed0,100,D,55,231,1,3.8641915089789776,1.0198849598972548,62.601626016260155,0.7107843137254902,6.072921882492674
random256_seed0,100,E,117,118,1,4.157200174677345,1.097219411507881,89.43089430894308,1.0232843137254901,5.947252262749268
