source,target
0,1
0,52
0,127
1,2
1,21
2,3
2,30
3,4
3,94
4,5
4,107
5,6
6,7
6,26
7,8
7,61
8,9
8,101
9,10
9,87
10,11
10,18
11,12
12,13
12,52
12,117
13,14
13,26
14,15
14,27
15,16
15,37
16,17
17,18
17,60
18,19
18,62
18,84
19,20
20,21
20,22
21,22
21,61
21,78
22,23
22,72
23,24
23,35
24,25
24,31
25,26
25,42
25,125
26,27
27,28
28,29
29,30
29,95
30,31
30,93
30,100
31,32
31,81
32,33
33,34
33,85
33,89
34,35
34,38
35,36
35,40
35,127
36,37
37,38
37,51
38,39
38,101
39,40
40,41
40,127
41,42
41,68
42,43
42,98
43,44
43,63
43,89
44,45
44,106
45,46
46,47
46,118
47,48
47,50
48,49
49,50
49,122
50,51
51,52
52,53
53,54
53,70
53,80
54,55
54,122
55,56
55,114
56,57
57,58
57,79
58,59
59,60
60,61
60,103
61,62
61,92
62,63
63,64
63,99
64,65
64,84
65,66
66,67
67,68
68,69
69,70
70,71
71,72
71,83
71,90
72,73
73,74
74,75
75,76
75,104
76,77
77,78
77,127
78,79
79,80
80,81
81,82
82,83
82,100
83,84
84,85
85,86
86,87
87,88
88,89
89,90
90,91
91,92
92,93
92,111
93,94
94,95
94,105
95,96
96,97
97,98
97,111
98,99
99,100
99,117
99,120
100,101
101,102
102,103
103,104
104,105
105,106
105,116
106,107
107,108
108,109
108,123
109,110
110,111
111,112
112,113
113,114
114,115
115,116
116,117
117,118
118,119
119,120
119,122
120,121
121,122
122,123
122,124
123,124
124,125
125,126
126,127
