case,nodes,seed,official_graph,directed_actions,degree_min,degree_max,action_coverage,minimum_action_visits,dataset_transitions,processed_transitions,training_seconds,total_seconds,spearman_initial,spearman_final,transition_mse_initial,transition_mse_final,reach_initial,reach_final,shortest_final,first_action_progress_final,stretch_success_only,v_norm_cv_final,sqrt_fit_r2_final
official32,32,0,True,96,2,5,1.0,39,6200,124000,1.2222108389250934,1.2909124759025872,0.08178699875687478,0.9407547903313501,2.0042117846898813,5.144062572759952e-11,0.09274193548387097,0.9979838709677419,0.9304435483870968,0.9616935483870968,1.0192400192400193,0.13803672790527344,0.8257384081353364
random32_seed0,32,0,False,84,2,5,1.0,45,6200,124000,1.2743813474662602,1.353472603019327,-0.03034359502893906,0.8853478462475651,2.0269721699360463,1.090269428651172e-12,0.06451612903225806,1.0,0.8850806451612904,0.9405241935483871,1.0285150249615975,0.13482911884784698,0.7940549448357539
random32_seed1,32,1,False,112,2,6,1.0,33,6200,124000,1.2312121829017997,1.29577171895653,-0.032236948608931254,0.786719919514525,2.05328414969346,2.776181651619372e-10,0.09375,1.0,0.8991935483870968,0.9183467741935484,1.0386424731182797,0.09949428588151932,0.6442873480930673
random32_seed2,32,2,False,108,2,5,1.0,38,6200,124000,1.3241101866587996,1.3801119131967425,0.0017876703791234378,0.8527236574123922,1.9958388279027348,4.2740671598589805e-11,0.11693548387096774,1.0,0.8981854838709677,0.9223790322580645,1.0386592741935483,0.11466391384601593,0.7305355345894182
random64_seed0,64,0,False,190,2,5,1.0,45,12400,248000,2.173330910038203,2.327365627977997,-0.04707509308149393,0.8511862256937506,2.042968047790395,4.9484278318984174e-12,0.05009920634920635,0.9910714285714286,0.8075396825396826,0.890625,1.0504576004576005,0.11317151039838791,0.7741964561638995
random64_seed1,64,1,False,200,2,6,1.0,43,12400,248000,2.2012247685343027,2.3694286420941353,-0.03647671393677299,0.8106130772301551,2.0390678825554076,7.131927167589098e-12,0.054563492063492064,0.9744543650793651,0.785218253968254,0.8745039682539683,1.0634888315214097,0.10951690375804901,0.6568079398991702
random64_seed2,64,2,False,178,2,5,1.0,41,12400,248000,2.107229897286743,2.2045499882660806,0.023606763466881158,0.832471258066509,2.023735882133592,5.02906271251718e-12,0.04017857142857143,0.9781746031746031,0.7914186507936508,0.8824404761904762,1.0522603150455585,0.1023099273443222,0.7407561734231215
random128_seed0,128,0,False,394,2,6,1.0,39,24800,496000,4.3763935710303485,4.663683149032295,-0.04234476527371643,0.753055811381738,2.0328205109684787,1.5668728554522106e-11,0.029773622047244094,0.9118479330708661,0.6803026574803149,0.8291092519685039,1.0776666784458728,0.08524557948112488,0.6091809540366016
random128_seed1,128,1,False,400,2,5,1.0,35,24800,496000,4.382664499338716,4.645497860852629,-0.0039568402132736675,0.727584607235263,2.016515926318031,4.690241639480713e-11,0.023068405511811024,0.9202755905511811,0.6840551181102362,0.8233267716535433,1.0836273448773448,0.0879567340016365,0.5217743780217432
random128_seed2,128,2,False,356,2,5,1.0,48,24800,496000,4.5452888193540275,4.801509944722056,-0.025167058440211106,0.781807212603439,2.018260482069158,1.2694240067164335e-12,0.022883858267716536,0.8784448818897638,0.657111220472441,0.8248646653543307,1.073995292561469,0.09870674461126328,0.6740088194878264
random256_seed0,256,0,False,738,2,5,1.0,35,49600,992000,9.663062826730311,10.989994500298053,0.00684932699336639,0.6781524172990473,2.0213308090920683,1.604683939180547e-11,0.010723039215686275,0.7912071078431373,0.5524509803921569,0.7757352941176471,1.0941666980969982,0.07831531763076782,0.48274577864082135
random256_seed1,256,1,False,796,2,7,1.0,37,49600,992000,9.013933207374066,10.318115240894258,-0.028907352513043626,0.6419241866107144,2.007341010083188,3.10200324468032e-11,0.01205575980392157,0.720343137254902,0.5224571078431373,0.7501685049019607,1.0890538080520855,0.08113496005535126,0.41655712245307874
random256_seed2,256,2,False,762,2,6,1.0,35,49600,992000,8.620699048507959,9.953701634891331,-0.016708216364158517,0.677782952277918,2.007708247086975,4.56119740295535e-11,0.011274509803921568,0.7445465686274509,0.5339460784313725,0.7736213235294118,1.0878750689388705,0.09287386387586594,0.49063684730848234
random512_seed0,512,0,False,1534,2,6,1.0,34,99200,1984000,17.561340352054685,24.168338662944734,0.0022930439531602897,0.5687355083921892,2.0207132750684047,3.0653167355355923e-11,0.005939640410958904,0.5080036081213307,0.36896862769080235,0.7126268957925636,1.0811356166760198,0.07509321719408035,0.32529430328581954
random512_seed1,512,1,False,1516,2,6,1.0,37,99200,1984000,17.55667977873236,22.924283505883068,-0.007733384756828785,0.5938283384885814,2.011633721201906,1.0223350605249556e-11,0.005354849559686888,0.522069165851272,0.37881069593933464,0.7246284858121331,1.0797151208034141,0.07843846827745438,0.3616982987751983
random512_seed2,512,2,False,1506,2,6,1.0,35,99200,1984000,17.39022501371801,23.294874651823193,-0.004310835892665877,0.5920305382687701,2.0048181042358286,2.2568077407821327e-11,0.005469514432485323,0.5106256115459883,0.3703484283268102,0.7168809625733855,1.0822517951531918,0.08389896154403687,0.35928049922809
